agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Illinois Department of Public Health,event,il_pubhealth/201804191200/17271/alzheimer_s_disease_advisory_committee,Alzheimer’s Disease Advisory Committee,"Thursday, April 19, 2018
12:00PM to 3:00PM
Memorial Center for Learning and Innovation
Schnirring Board Room MCLI 2E
228 W. Miller Street
Springfield, IL 62702
Audio conference available for those unable to join in-person. Dial-in Information 888-494-4032, Passcode 263 105 2766#
Interested persons may contact the Alzheimer’s Disease Program at 217-558-4081.",Not classified,2018-04-19 12:00,2018-04-19 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804191500/17991/levels_of_care_levels_iii_and_iv,Levels of Care: Levels III and IV,"CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-04-19 15:00,2018-04-19 16:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804231015/17166/state_ems_education_committee,State EMS Education Committee,"​​State EMS Education Committee, 422 South 5
Street, Springfield, IL 62701
VIA VIDEOCONFERENCE AT:
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Bell Building, 422 S. 5th St., 3rd Floor Conference Room, Springfield, IL 62703
Illinois Central College, 5407 N. University, Cedar Room 146, Peoria, IL 61635-0001
Parkland College, 2400 West Bradley Ave. Room X-135, Champaign, IL 61821
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201",Not classified,2018-04-23 10:15,2018-04-23 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804250800/18026/nfpa_101_life_safety_code_seminar_2012_edition,"NFPA 101, Life Safety Code Seminar – 2012 edition","3 day seminar from 8:00 am to 4:30 pm each day
Crowne Plaza Hotels and Resorts
3000 North Dirksen Parkway, Springfield, IL
Interested persons may contact the Division of Life Safety and Construction at 217-785-4247",Not classified,2018-04-25 08:00,2018-04-27 16:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804251200/17731/levels_of_care_transfers,Levels of Care: Transfers,"​
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-04-25 12:00,2018-04-25 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201804271400/17756/levels_of_care_levels_i_and_ii_committee_meeting,Levels of Care: Levels I and II Committee Meeting,"​
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-04-27 14:00,2018-04-27 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805071000/18016/social_and_emotional_learning_stakeholder_meeting,Social and Emotional Learning Stakeholder Meeting,"VIDEOCONFERENCE ONLY
69 West Washington St., 35th Floor, Chicago
One Natural Resources Way, Lower Level
There will be no teleconference line for this meeting. Space at these sites is limited. If capacity is reached, an overflow room will be made available.
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-05-07 10:00,2018-05-07 14:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805081000/18086/maternal_mortality_review_committee_violent_deaths,Maternal Mortality Review Committee: Violent Deaths,"CONFERENCE ROOMS
122 S. Michigan Ave., 7th Floor, Room 711, Chicago
535 West Jefferson St., 4th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-05-08 10:00,2018-05-08 16:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805091000/16871/developmentally_disabled_facility_advisory_board_meeting,Developmentally Disabled Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 9705523024)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
5415 N. University St., Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Connie Jensen at the Division of Health Care Facilities and Programs at",Not classified,2018-05-09 10:00,2018-05-09 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805091000/17266/illinois_suicide_prevention_alliance,Illinois Suicide Prevention Alliance,"VIA VIDEOCONFERENCE AT:
Illinois Department of Public Health
One Natural Resources Way (fairgrounds) Lake Level
Springfield, IL
and
James R. Thompson Center
100 W. Randolph Street
14
Floor,  ISBE Board Room/V-Tel
Chicago, IL
AUDIO CONFERENCE
1-888-494-4032 ; passcode 2631052766#
Interested persons may contact the Suicide Prevention Program at 217-558-4081.",Not classified,2018-05-09 10:00,2018-05-09 13:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=1,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805091100/17381/state_stroke_advisory_subcommittee_meeting,State Stroke Advisory Subcommittee Meeting,Agenda and details - TBA,Not classified,2018-05-09 11:00,2018-05-09 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805101030/16831/hospice_and_palliative_care_advisory_board_committee_board,Hospice and Palliative Care Advisory Board Committee Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-05-10 10:30,2018-05-10 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805151000/16851/hospital_licensing_board,Hospital Licensing Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 723, 7th Floor, Chicago, IL
Marion Regional Office, 2309 W. Main Street, Marion, IL
10:00 a.m. – 12:00 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-05-15 10:00,2018-05-15 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805151000/17921/rare_diseases_commission,Rare Diseases Commission,"Meeting Agenda – to be provided
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Dial-in 1-888-494-4032; Access Code:  6749670741
Interested persons may contact the Office of Health Promotion at 217-785-4093 for information",Not classified,2018-05-15 10:00,2018-05-15 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805170830/17781/levels_of_care_designation_redesignation_and_change_of_network,"Levels of Care: Designation, Redesignation, and Change of Network","CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-05-17 08:30,2018-05-17 09:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805171000/16891/long_term_care_facility_advisory_board_meeting,Long Term Care Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 4512265788)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
4212 W. St Charles Road, Bellwood
5415 N. University Street, Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Darlene Harney at the Bureau of Long Term Care at",Not classified,2018-05-17 10:00,2018-05-17 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805171330/16601/institutional_review_board_meeting,Institutional Review Board Meeting,"Illinois Department of Public Health
Conference Room 711, 7th Floor
122 S. Michigan Ave.
Chicago
AND
Illinois Department of Public Health
Director’s Conference Room, Fifth Floor
535 W. Jefferson St.
Springfield
Interested persons may contact the Institutional Review Board at 312-814-5173.",Not classified,2018-05-17 13:30,2018-05-17 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805181400/17761/levels_of_care_levels_i_and_ii_committee_meeting,Levels of Care: Levels I and II Committee Meeting,"​
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-05-18 14:00,2018-05-18 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201805231200/17736/levels_of_care_transfers,Levels of Care: Transfers,"​
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-05-23 12:00,2018-05-23 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806071000/17401/ems_for_children_advisory_council,EMS for Children Advisory Council,"Locations of meeting:  Illinois Hospital Association, 1151 E. Warrenville Road, Naperville, IL 60566 and Illinois Hospital Association, 700 South 2nd Street, Springfield, IL 62704
Contact for the meeting @
IDPH:  Evelyn Lyons, 708-327-2556,",Not classified,2018-06-07 10:00,2018-06-07 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=2,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806071100/17361/trauma_advisory_council_meeting,Trauma Advisory Council Meeting,"Memorial Center for Learning & Innovation, 228 W. Miller St., Springfield, IL 62702
Also via video conference at:
IDPH Marion Regional Office, Room 10
IDPH Rockford Regional Office
ICEP
Unity Point Health-Trinity
Contact for the meeting @
IDPH:  217.785.2080 EMS Main Line",Not classified,2018-06-07 11:00,2018-06-07 13:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806071315/17426/illinois_college_of_emergency_physicians_ems_forum,Illinois College of Emergency Physicians EMS Forum,"Division of EMS & Highway Safety, 525/535 W. Jefferson, 4th Floor, Springfield, IL 62702
ICEP, 3000 Woodcreek Drive, Suite #200, Downers Grove, IL
Via videoconference
IDPH Bell Building, 3rd Floor Conference Room
(ICC) Illinois Central College
Unity Point Health-Trinity
Memorial Hospital – Belleville
Contact for the meeting @ IDPH:  217.785.2080 EMS Main Line",Not classified,2018-06-07 13:15,2018-06-07 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806131000/16761/ambulatory_surgical_treatment_center_licensing_board,Ambulatory Surgical Treatment Center Licensing Board,"Meeting Agenda – TBA
VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
245 W. Roosevelt, Bldg 5, West Chicago
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at 217-782-0483.",Not classified,2018-06-13 10:00,2018-06-13 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806140830/17786/levels_of_care_designation_redesignation_and_change_of_network,"Levels of Care: Designation, Redesignation, and Change of Network","CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-06-14 08:30,2018-06-14 09:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806211030/17341/ems_advisory_council_meeting,EMS Advisory Council Meeting,"Memorial Medical Center, Center for Learning and Innovation – (face-to-face/videoconference)
Springfield
AND VIA VIDEOCONFERENCE AT:
IDPH Champaign Regional Office, Room B, 2125 S. First St., Champaign, IL 61820
IDPH Edwardsville Regional Office, 22 Kettle River Dr., Glen Carbon, IL 62034
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Peoria Regional Office, 5415 N. University, Peoria, IL 61614
IDPH Rockford Regional Office, 4302 N. Main St., Rockford, IL 61103
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201
Interested persons may contact the Division of EMS and Highway Safety at 217-785-2080.",Not classified,2018-06-21 10:30,2018-06-21 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806221000/18021/social_and_emotional_learning_stakeholder_meeting,Social and Emotional Learning Stakeholder Meeting,"VIDEOCONFERENCE ONLY
69 West Washington St., 35th Floor, Chicago
One Natural Resources Way, Lower Level
There will be no teleconference line for this meeting. Space at these sites is limited. If capacity is reached, an overflow room will be made available.
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-06-22 10:00,2018-06-22 14:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201806271200/17741/levels_of_care_transfers,Levels of Care: Transfers,"​​
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Conference Call Information
Conference Call-In#: 888.494.4032
Access Code: 6819028741
Interested persons may contact the Office of Women’s Health at 312-814-4035 for information",Not classified,2018-06-27 12:00,2018-06-27 13:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201807101030/16816/end_stage_renal_disease_advisory_board,End Stage Renal Disease Advisory Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-07-10 10:30,2018-07-10 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201807111030/16916/home_health_home_services_and_home_nursing_advisory_board,"Home Health, Home Services and Home Nursing Advisory Board  ","VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
#22 Kettle River Dr., Edwardsville, IL
2309 W. Main St., Marion, IL
4212 St. Charles Road, Bellwood (pending conf of location availability)
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-07-11 10:30,2018-07-11 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201807231015/17161/state_ems_education_committee,State EMS Education Committee,"​State EMS Education Committee, 422 South 5
Street, Springfield, IL 62701
VIA VIDEOCONFERENCE AT:
Illinois College of Emergency Physicians, 3000 Woodcreek Dr., Downers Grove, IL 60515
IDPH Marion Regional Office, Room 10, 2309 W. Main St., Marion, IL 62959
IDPH Bell Building, 422 S. 5th St., 3rd Floor Conference Room, Springfield, IL 62703
Illinois Central College, 5407 N. University, Cedar Room 146, Peoria, IL 61635-0001
Parkland College, 2400 West Bradley Ave. Room X-135, Champaign, IL 61821
Unity Point Health-Trinity, 2701 17th St., 3rd Floor, Rock Island, IL 61201",Not classified,2018-07-23 10:15,2018-07-23 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=3,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808081000/16876/developmentally_disabled_facility_advisory_board_meeting,Developmentally Disabled Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 9705523024)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
5415 N. University St., Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Connie Jensen at the Division of Health Care Facilities and Programs at",Not classified,2018-08-08 10:00,2018-08-08 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808081100/17386/state_stroke_advisory_subcommittee_meeting,State Stroke Advisory Subcommittee Meeting,N/A,Not classified,2018-08-08 11:00,2018-08-08 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808091030/16836/hospice_and_palliative_care_advisory_board_committee_board,Hospice and Palliative Care Advisory Board Committee Board ,"VIDEO CONFERENCE
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
4212 St. Charles, Bellwood
10:30 a.m. – 12:30 p.m.
Interested persons may contact Elaine Huddleston in the Office of Health Care Regulations, Division of Health Care Facilities and Programs at",Not classified,2018-08-09 10:30,2018-08-09 12:30,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808141000/17926/rare_diseases_commission,Rare Diseases Commission,"Meeting Agenda – to be provided
CONFERENCE ROOMS
69 West Washington St., 35th Floor, Chicago
535 West Jefferson St., 5th Floor, Springfield
Dial-in 1-888-494-4032; Access Code:  6749670741
Interested persons may contact the Office of Health Promotion at 217-785-4093 for information",Not classified,2018-08-14 10:00,2018-08-14 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808161000/16896/long_term_care_facility_advisory_board_meeting,Long Term Care Facility Advisory Board Meeting,"Videoconference and Teleconference (Tel#888-494-4032- Access Code: 4512265788)
525 W. Jefferson St., 4th Floor Video Conference Room, Springfield, IL
122 S. Michigan Ave., Conference Room 711, 7th Floor, Chicago, IL
4212 W. St Charles Road, Bellwood
5415 N. University Street, Peoria
10:00 a.m. – 12:00 p.m.
For this meeting, interested persons may contact Darlene Harney at the Bureau of Long Term Care at",Not classified,2018-08-16 10:00,2018-08-16 12:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
Illinois Department of Public Health,event,il_pubhealth/201808161330/16606/institutional_review_board_meeting,Institutional Review Board Meeting,"Illinois Department of Public Health
Conference Room 711, 7th Floor
122 S. Michigan Ave.
Chicago
AND
Illinois Department of Public Health
Director’s Conference Room, Fifth Floor
535 W. Jefferson St.
Springfield
Interested persons may contact the Institutional Review Board at 312-814-5173.",Not classified,2018-08-16 13:30,2018-08-16 15:00,America/Chicago,tentative,0,N/A,N/A,N/A,http://www.dph.illinois.gov/events?page=4,N/A,2018-03-26 19:16
