agency_name,_type,id,name,description,classification,start_time,end_time,timezone,status,all_day,location_name,location_url,location_address,source_url,source_note,scraped_time
Chicago Police Department,event,chi_police/201812121900/19/beat_1914_community_meeting,Beat 1914 Community Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 19",2018-12-12 19:00,2018-12-12 20:00,America/Chicago,confirmed,0,N/A,N/A,"Clarendon Park, 4501 N. Clarendon",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812121900/8/812_beat_meeting,812 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-12 19:00,2018-12-12 20:00,America/Chicago,confirmed,0,N/A,N/A,Clearing Library - 6423 W. 63rd Place,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812121830/14/1421_beat_meeting,1421 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 14",2018-12-12 18:30,2017-12-12 19:30,America/Chicago,confirmed,0,N/A,N/A,1605 N. Troy - Humboldt Park Library,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812121800/25/district_advisory_committee_dac,District Advisory Committee (DAC),"Each District Commander has a District Advisory Committee which serves to provide advice and community based strategies that address underlying conditions contributing to crime and disorder in the district. Each District Advisory Committee should represent the broad spectrum of stakeholders in the community including residents, businesses, houses of worship, libraries, parks, schools and community-based organizations.",District Advisory Committee (DAC),2018-12-12 18:00,2018-12-12 19:00,America/Chicago,confirmed,0,N/A,N/A,5555 W Grand Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812111900/20/2012_beat_meeting,2012 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-11 19:00,2018-12-12 20:00,America/Chicago,confirmed,0,N/A,N/A,St. Gregory Gym 1609 W. Gregory St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812111900/20/2022_beat_meeting,2022 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-11 19:00,2018-12-11 20:00,America/Chicago,confirmed,0,N/A,N/A,Broadway Armory 5917 N. Broadway,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812111900/8/831/832_beat_meeting,831/832 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-11 19:00,2018-12-11 20:00,America/Chicago,confirmed,0,N/A,N/A,Marquette Park Fieldhouse - 6734 S. Kedzie Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812101830/19/beat_1934_1935_community_meeting,Beat 1934 & 1935 Community Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 19",2018-12-10 18:30,2018-12-10 19:30,America/Chicago,confirmed,0,N/A,N/A,"2nd Unitarian Church, 656 W. Barry",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812061900/8/834_beat_meeting,834 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-06 19:00,2018-12-06 20:00,America/Chicago,confirmed,0,N/A,N/A,Bogan High School - 3939 W. 79th Street,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812061900/22/beat_meeting_2211/2212,Beat Meeting 2211/2212,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 22",2018-12-06 19:00,2018-12-06 20:00,America/Chicago,confirmed,0,N/A,N/A,1900 W. MONTEREY,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812061830/19/beat_1915_community_meeting,Beat 1915 Community Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 19",2018-12-06 18:30,2018-12-06 19:30,America/Chicago,confirmed,0,N/A,N/A,"Uptown Buena Library, 929 W. Buena",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812061830/25/2522_beat_meeting,2522 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-12-06 18:30,2018-12-06 19:30,America/Chicago,confirmed,0,N/A,N/A,Hermosa Park 2240 N Kilbourn,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812051900/20/2033_beat_meeting,2033 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-05 19:00,2018-12-05 20:00,America/Chicago,confirmed,0,N/A,N/A,Bezazian Library 1226 W. Ainslie St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812051900/8/815/821_beat_meeting,815/821 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-05 19:00,2018-12-05 20:00,America/Chicago,confirmed,0,N/A,N/A,St. Bruno Church - 4839 S. Harding Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812051830/25/2512_beat_meeting,2512 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-12-05 18:30,2018-12-05 19:30,America/Chicago,confirmed,0,N/A,N/A,Shriner's Hospital 2211 N Oak Park,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812051830/14/1424_beat_meeting,1424 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 14",2018-12-05 18:30,2018-12-05 19:30,America/Chicago,confirmed,0,N/A,N/A,1425 N. Damen - Wicker Park,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812041900/24/2413_community_beat_meeting,2413 Community Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 24",2018-12-04 19:00,2018-12-04 20:00,America/Chicago,confirmed,0,N/A,N/A,"Green Briar Park 2650 W. Peterson Chicago, IL.",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812041700/8/822/824_beat_meeting,822/824 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-12-04 17:00,2018-12-04 18:00,America/Chicago,confirmed,0,N/A,N/A,Hernandez Middle School - 3510 W. 55th Street,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201812031900/20/2011_beat_meeting,2011 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-12-03 19:00,2018-12-03 20:00,America/Chicago,confirmed,0,N/A,N/A,20th District Community Room 5400 N. Lincoln Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811291830/6/634_beat_meeting,634 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 6",2018-11-29 18:30,2018-11-29 19:30,America/Chicago,confirmed,0,N/A,N/A,St. James A.M.E. Church 9256 S. Lafayette,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811281900/8/835_beat_meeting,835 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-11-28 19:00,2018-11-28 20:00,America/Chicago,confirmed,0,N/A,N/A,Wrightwood Library - 8530 S. Kedzie Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811281900/20/2032_beat_meeting,2032 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-11-28 19:00,2018-11-28 20:00,America/Chicago,confirmed,0,N/A,N/A,Ravenswood Evangelical Church 4900 N. Damen Ave.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811281830/14/1433/1434_beat_meeting,1433/1434 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 14",2018-11-28 18:30,2018-11-28 19:30,America/Chicago,confirmed,0,N/A,N/A,1701 N. Milwaukee - Bucktown Library,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811281830/25/2523_beat_meeting,2523 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-11-28 18:30,2018-11-28 19:30,America/Chicago,confirmed,0,N/A,N/A,St. Joseph 4021 W Belmont,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271900/8/813/833_beat_meeting, 813/833 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-11-27 19:00,2018-11-27 20:00,America/Chicago,confirmed,0,N/A,N/A,West Lawn Park - 4233 W. 65th Street,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271900/20/2031_beat_meeting,2031 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-11-27 19:00,2018-11-27 20:00,America/Chicago,confirmed,0,N/A,N/A,Swedish Covenant Hospital 2751 W. Winona St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271900/24/2422_community_beat_meeting,2422 Community Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 24",2018-11-27 19:00,2018-11-27 20:00,America/Chicago,confirmed,0,N/A,N/A,"Willye White Park 1610 W. Howard Chicago, IL.",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271830/6/614_beat_meeting,614 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 6",2018-11-27 18:30,2018-11-27 19:30,America/Chicago,confirmed,0,N/A,N/A,Foster Park Field House 1440 W. 84th St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271830/25/2513_beat_meeting,2513 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-11-27 18:30,2018-11-27 19:30,America/Chicago,confirmed,0,N/A,N/A,Amundsen Park 6200 W Bloomingdale,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811271800/11/beat_meeting_1135,Beat Meeting 1135 ,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 11",2018-11-27 18:00,2018-11-27 19:00,America/Chicago,confirmed,0,N/A,N/A,515 S. Washtenaw Altgeld Park ,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811261800/6/beat_facilitator/dac_meeting,Beat Facilitator/DAC Meeting,"Each District Commander has a District Advisory Committee which serves to provide advice and community based strategies that address underlying conditions contributing to crime and disorder in the district. Each District Advisory Committee should represent the broad spectrum of stakeholders in the community including residents, businesses, houses of worship, libraries, parks, schools and community-based organizations.",District Advisory Committee (DAC),2018-11-26 18:00,2018-11-26 20:00,America/Chicago,confirmed,0,N/A,N/A,"6th District Station, 7808 S. Halsted St.",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211900/16/1623_beat_meeting,1623 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 16",2018-11-21 19:00,2018-11-21 20:00,America/Chicago,confirmed,0,N/A,N/A,"16th District Station Community Room, 5151 N. Milwaukee",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211900/20/2013_beat_meeting,2013 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 20",2018-11-21 19:00,2018-11-21 20:00,America/Chicago,confirmed,0,N/A,N/A,Philadelphia Church 5437 N. Clark St.,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211900/19/beat_1921_22_31_community_meeting,"Beat 1921, 22 & 31 Community Meeting","CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 19",2018-11-21 19:00,2018-11-21 20:00,America/Chicago,confirmed,0,N/A,N/A,"Police Auditorium in Area North, 2452 W. Belmont",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211830/25/2515_beat_meeting,2515 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-11-21 18:30,2018-11-21 19:30,America/Chicago,confirmed,0,N/A,N/A,St. Stanislaus 2310 N Lorel,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211830/8/823/825_beat_meeting,823/825 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-11-21 18:30,2018-11-21 19:30,America/Chicago,confirmed,0,N/A,N/A,St. Rita Church - 6243 S. Fairfield Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811211800/22/beat_meeting_2234,Beat Meeting 2234,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 22",2018-11-21 18:00,2018-11-21 19:00,America/Chicago,confirmed,0,N/A,N/A,BETH EDEN CHURCH-11121 S. LOOMIS STREET,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201900/16/1633_beat_meeting,1633 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 16",2018-11-20 19:00,2018-11-20 20:00,America/Chicago,confirmed,0,N/A,N/A,"Merrimac Park, 6343 W. Irving Park Rd.",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201900/8/811_beat_meeting,811 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 8",2018-11-20 19:00,2018-11-20 20:00,America/Chicago,confirmed,0,N/A,N/A,Good Shepherd - 5550 S. Merrimac Ave,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201900/19/beat_1911_1912_community_meeting,Beat 1911 & 1912 Community Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 19",2018-11-20 19:00,2018-11-20 20:00,America/Chicago,confirmed,0,N/A,N/A,"Sulzer Library, 4455 N. Lincoln",https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201830/6/613_beat_meeting,613 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 6",2018-11-20 18:30,2018-11-20 19:30,America/Chicago,confirmed,0,N/A,N/A,World of Life Christian Church 8347 S. Racine,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201830/25/2525_beat_meeting,2525 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-11-20 18:30,2018-11-20 19:30,America/Chicago,confirmed,0,N/A,N/A,Mozart Park 2036 N Avers,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201830/25/2531_beat_meeting,2531 Beat Meeting,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 25",2018-11-20 18:30,2018-11-20 19:30,America/Chicago,confirmed,0,N/A,N/A,25th District 5555 W Grand,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811201800/11/beat_meeting_1133_34,Beat Meeting 1133-34,"CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 11",2018-11-20 18:00,2018-11-20 19:00,America/Chicago,confirmed,0,N/A,N/A,3559 W. Arthington Homan Square Community Center,https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
Chicago Police Department,event,chi_police/201811151900/3/30_sector_beat_meeting_331_332_333_334,"30 Sector Beat Meeting (331, 332, 333 & 334)","CPD Beat meetings, held on all 279 police beats in the City, provide a regular opportunity for police officers, residents, and other community stakeholders to exchange information, identify and prioritize problems, and begin developing solutions to those problems.","Beat Meeting, District 3",2018-11-15 19:00,2018-11-15 20:00,America/Chicago,confirmed,0,N/A,N/A,1818 E. 71st St. (ABJ Community Service Center),https://home.chicagopolice.org/get-involved-with-caps/all-community-event-calendars,N/A,2018-04-23 19:17
